time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q0,q1,q2,q3,omega_x,omega_y,omega_z,mass,altitude,ground_range,alpha,beta,mach,fin_cmd_1,fin_cmd_2,fin_cmd_3,fin_cmd_4,fin_act_1,fin_act_2,fin_act_3,fin_act_4,force_x,force_y,force_z,accel_x,accel_y,accel_z,lat,lon,alt_msl
0.010000,4393519.067314,4259900.829642,1795674.982829,-0.080651,-0.078198,0.700842,0.99144474,0.00049536,0.13052618,-0.00006521,0.10000000,0.00000000,0.00000000,12.7359,0.0000,0.0000,0.00000000,0.00000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,0.0000,0.0000,0.0000,2.538148,-0.009466,-9.472492,16.45747200,44.11536100,1200.0000
0.020000,4393519.066116,4259900.828480,1795674.992677,-0.158440,-0.153621,1.244969,0.99144437,0.00099072,0.13052613,-0.00013041,0.10000000,0.00000000,0.00000000,12.7326,0.0003,0.0030,0.00000000,0.00000000,0.002069,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,844.8699,0.0000,0.0000,68.892940,-0.018931,-9.472478,16.45747203,44.11536100,1200.0003
0.030000,4393519.064147,4259900.826571,1795675.007627,-0.235489,-0.228326,1.748595,0.99144375,0.00148609,0.13052605,-0.00019562,0.10000000,0.00000000,0.00000000,12.7296,0.0015,0.0129,0.00000000,0.00000000,0.003686,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,663.7273,0.0000,0.0000,54.678681,-0.028397,-9.472454,16.45747212,44.11536100,1200.0015
0.040000,4393519.061406,4259900.823913,1795675.027683,-0.312850,-0.303334,2.269289,0.99144288,0.00198145,0.13052593,-0.00026083,0.10000000,0.00000000,0.00000000,12.7265,0.0031,0.0280,0.00000000,0.00000000,0.005186,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,689.6029,0.0000,0.0000,56.724684,-0.037862,-9.472421,16.45747225,44.11536100,1200.0031
0.050000,4393519.057886,4259900.820501,1795675.053217,-0.391297,-0.379394,2.849423,0.99144177,0.00247681,0.13052579,-0.00032603,0.10000000,0.00000000,0.00000000,12.7230,0.0051,0.0483,0.00000000,0.00000000,0.006736,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,-0.00290888,741.3627,0.0000,0.0000,60.807608,-0.047328,-9.472378,16.45747244,44.11536100,1200.0051
0.060000,4393519.053575,4259900.816320,1795675.084943,-0.471171,-0.456838,3.507687,0.99144041,0.00297217,0.13052561,-0.00039124,0.10000000,0.00000000,0.00000000,12.7191,0.0077,0.0742,0.00000000,0.00000000,0.008457,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,-0.00290888,831.9359,0.0000,0.0000,67.946473,-0.056793,-9.472326,16.45747267,44.11536100,1200.0077
0.070000,4393519.048458,4259900.811360,1795675.123609,-0.552257,-0.535456,4.232284,0.99143880,0.00346753,0.13052539,-0.00045644,0.10000000,0.00000000,0.00000000,12.7148,0.0109,0.1063,0.00000000,0.00000000,0.010402,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,-0.00290888,922.5053,0.0000,0.0000,75.091537,-0.066259,-9.472265,16.45747296,44.11536100,1200.0109
0.080000,4393519.042527,4259900.805609,1795675.169725,-0.634091,-0.614799,4.997841,0.99143694,0.00396289,0.13052515,-0.00052165,0.09999958,-0.00000106,-0.00000000,12.7104,0.0150,0.1454,0.00000000,0.00000000,0.012539,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,-0.00290888,974.2695,0.0000,0.0000,79.189786,-0.075724,-9.472194,16.45747331,44.11536100,1200.0150
0.090000,4393519.035775,4259900.799062,1795675.223634,-0.716327,-0.694532,5.785730,0.99143484,0.00445824,0.13052485,-0.00058685,0.09999641,-0.00000955,-0.00000001,12.7057,0.0201,0.1920,0.14946885,0.00119140,0.014794,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,-0.00290888,1026.0188,-0.0000,-0.0080,83.290550,-0.085193,-9.472743,16.45747373,44.11536100,1200.0201
0.100000,4393519.028201,4259900.791718,1795675.285441,-0.798565,-0.774267,6.573913,0.99143250,0.00495356,0.13052446,-0.00065206,0.09999190,-0.00002383,0.00000003,12.7011,0.0264,0.2463,0.14532655,0.00130346,0.017114,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,1038.9561,-0.0001,-0.0139,84.338500,-0.094662,-9.473122,16.45747423,44.11536100,1200.0264
0.110000,4393519.019805,4259900.783578,1795675.355046,-0.880524,-0.853730,7.347109,0.99142992,0.00544886,0.13052395,-0.00071725,0.09998560,-0.00004630,0.00000012,12.6966,0.0338,0.3086,0.14216562,0.00141701,0.019435,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,1026.0144,-0.0002,-0.0227,83.348392,-0.104133,-9.473713,16.45747479,44.11536100,1200.0338
0.120000,4393519.010590,4259900.774644,1795675.432384,-0.962417,-0.933130,8.117191,0.99142712,0.00594413,0.13052327,-0.00078245,0.09997718,-0.00007998,0.00000029,12.6921,0.0423,0.3786,0.13995772,0.00153466,0.021713,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,1026.0040,-0.0003,-0.0348,83.376297,-0.113607,-9.474562,16.45747542,44.11536100,1200.0423
0.130000,4393519.000557,4259900.764916,1795675.517356,-1.044120,-1.012345,8.877358,0.99142409,0.00643934,0.13052235,-0.00084764,0.09996632,-0.00012847,0.00000060,12.6876,0.0519,0.4564,0.13821922,0.00165351,0.023982,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,1000.1280,-0.0005,-0.0512,81.365206,-0.123084,-9.475737,16.45747612,44.11536100,1200.0519
0.140000,4393518.989708,4259900.754397,1795675.609932,-1.125815,-1.091552,9.637797,0.99142086,0.00693449,0.13052111,-0.00091282,0.09995266,-0.00019612,0.00000112,12.6832,0.0626,0.5419,0.13692914,0.00177469,0.026222,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,1000.1219,-0.0008,-0.0725,81.392399,-0.132568,-9.477293,16.45747690,44.11536100,1200.0626
0.150000,4393518.978041,4259900.743085,1795675.710147,-1.207685,-1.170928,10.408709,0.99141743,0.00742957,0.13051945,-0.00097798,0.09993584,-0.00028821,0.00000192,12.6787,0.0743,0.6349,0.13583544,0.00189602,0.028463,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,1000.1141,-0.0012,-0.0998,81.419830,-0.142059,-9.479320,16.45747774,44.11536100,1200.0743
0.160000,4393518.965554,4259900.730978,1795675.818141,-1.289789,-1.250530,11.193503,0.99141382,0.00792455,0.13051723,-0.00104314,0.09991542,-0.00041129,0.00000314,12.6741,0.0871,0.7356,0.13476423,0.00201551,0.030735,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,1025.9824,-0.0018,-0.1346,83.489399,-0.151560,-9.481931,16.45747865,44.11536100,1200.0871
0.170000,4393518.952244,4259900.718074,1795675.934052,-1.372027,-1.330264,11.987084,0.99141006,0.00841941,0.13051427,-0.00110828,0.09989097,-0.00057315,0.00000493,12.6694,0.1010,0.8441,0.13367273,0.00213255,0.033046,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,1051.8384,-0.0025,-0.1784,85.559797,-0.161074,-9.485251,16.45747963,44.11536100,1200.1010
0.180000,4393518.938113,4259900.704373,1795676.057884,-1.454210,-1.409942,12.779252,0.99140618,0.00891415,0.13051036,-0.00117340,0.09986376,-0.00078263,0.00000716,12.6648,0.1161,0.9605,0.13262302,0.00224811,0.035383,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00096963,0.00000000,-0.00290888,1038.8841,-0.0035,-0.2327,84.567202,-0.170604,-9.489391,16.45748068,44.11536100,1200.1161
0.190000,4393518.923160,4259900.689875,1795676.189638,-1.536362,-1.489590,13.571713,0.99140220,0.00940875,0.13050524,-0.00123849,0.09983418,-0.00104954,0.00000993,12.6602,0.1323,1.0848,0.13171165,0.00236405,0.037716,0.00000000,0.00000000,0.00000000,0.00000000,-0.00193925,-0.00096963,0.00000000,-0.00290888,1038.8773,-0.0046,-0.2982,84.596555,-0.180141,-9.494418,16.45748180,44.11536100,1200.1323
0.200000,4393518.907385,4259900.674580,1795676.329353,-1.618632,-1.569353,14.372975,0.99139817,0.00990318,0.13049861,-0.00130357,0.09980061,-0.00138477,0.00001379,12.6555,0.1496,1.2170,0.13089653,0.00248001,0.040050,0.00000000,0.00000000,0.00000000,0.00000000,-0.00193925,-0.00096963,0.00000000,-0.00290888,1038.8560,-0.0061,-0.3767,84.625066,-0.189712,-9.500483,16.45748300,44.11536100,1200.1496
