time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q0,q1,q2,q3,omega_x,omega_y,omega_z,mass,altitude,ground_range,alpha,beta,mach,fin_cmd_1,fin_cmd_2,fin_cmd_3,fin_cmd_4,fin_act_1,fin_act_2,fin_act_3,fin_act_4,fin_can_1,fin_can_2,fin_can_3,fin_can_4,fin_source,force_x,force_y,force_z,lat,lon,alt_msl
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.99144486,-0.00000036,0.13052619,0.00000006,-0.00000000,0.00000001,-0.00000002,12.7369,1200.0000,0.0000,0.00000000,0.00000000,0.011660,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,0.0000,0.0000,0.0000,16.45747200,44.11536100,1200.0000
0.020000,0.002246,-0.000002,-0.000114,0.529490,-0.000451,-0.044257,0.99144486,-0.00000072,0.13052619,0.00000011,-0.00000000,0.00000002,-0.00000006,12.7344,1200.0001,0.0022,0.00000000,0.00000000,0.011764,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,635.0213,-0.5221,-0.2111,16.45747202,44.11536100,1200.0001
0.030000,0.009702,-0.000008,-0.000647,0.944466,-0.000804,-0.057790,0.99144486,-0.00000108,0.13052619,0.00000017,-0.00000000,0.00000004,-0.00000011,12.7321,1200.0006,0.0097,0.00000000,0.00000000,0.011984,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,498.3915,-0.4098,-0.1657,16.45747209,44.11536100,1200.0006
0.040000,0.021062,-0.000018,-0.001250,1.329907,-0.001131,-0.063398,0.99144486,-0.00000144,0.13052619,0.00000023,-0.00000000,0.00000008,-0.00000019,12.7298,1200.0012,0.0211,0.00000000,0.00000000,0.012292,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,517.9085,-0.4258,-0.1721,16.45747219,44.11536100,1200.0012
0.050000,0.036325,-0.000031,-0.001922,1.727759,-0.001470,-0.072337,0.99144486,-0.00000180,0.13052619,0.00000028,-0.00000000,0.00000012,-0.00000030,12.7272,1200.0019,0.0363,0.00000000,0.00000000,0.012707,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,556.9492,-0.4579,-0.1851,16.45747233,44.11536100,1200.0019
0.060000,0.055765,-0.000047,-0.002736,2.168890,-0.001844,-0.092887,0.99144486,-0.00000216,0.13052619,0.00000034,-0.00000000,0.00000018,-0.00000045,12.7242,1200.0027,0.0558,0.00000000,0.00000000,0.013271,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,625.2656,-0.5141,-0.2078,16.45747250,44.11536100,1200.0027
0.070000,0.079901,-0.000068,-0.003832,2.666904,-0.002267,-0.128699,0.99144486,-0.00000252,0.13052620,0.00000039,0.00000000,-0.00000129,-0.00000264,12.7210,1200.0038,0.0799,0.00000000,0.00000000,0.014024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,693.5791,-0.5703,-0.2305,16.45747272,44.11536100,1200.0038
0.080000,0.109277,-0.000093,-0.005357,3.213197,-0.002731,-0.177466,0.99144487,-0.00000289,0.13052616,0.00000040,0.00000003,-0.00001178,-0.00001667,12.7176,1200.0054,0.1093,0.20661903,-0.89363771,0.014971,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,732.6262,-0.5959,-0.2497,16.45747299,44.11536100,1200.0054
0.090000,0.144264,-0.000123,-0.007408,3.789276,-0.003214,-0.234229,0.99144488,-0.00000326,0.13052607,0.00000033,0.00000006,-0.00002546,-0.00003545,12.7142,1200.0074,0.1442,0.20005814,-0.81189474,0.016082,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,771.6627,-0.6247,-0.2652,16.45747330,44.11536100,1200.0074
0.100000,0.185112,-0.000157,-0.010055,4.381572,-0.003707,-0.295346,0.99144490,-0.00000366,0.13052590,0.00000015,0.00000010,-0.00004347,-0.00006067,12.7107,1200.0101,0.1851,0.19448864,-0.73923822,0.017323,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,781.4248,-0.6276,-0.2720,16.45747367,44.11536100,1200.0101
0.110000,0.231896,-0.000197,-0.013316,4.974031,-0.004196,-0.356510,0.99144494,-0.00000407,0.13052563,-0.00000017,0.00000015,-0.00006709,-0.00009421,12.7073,1200.0133,0.2319,0.19024106,-0.67654424,0.018643,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,771.6687,-0.6123,-0.2735,16.45747410,44.11536100,1200.0133
0.120000,0.284544,-0.000241,-0.017172,5.555526,-0.004669,-0.414736,0.99144499,-0.00000450,0.13052523,-0.00000069,0.00000023,-0.00009785,-0.00013837,12.7039,1200.0172,0.2845,0.18727767,-0.62326132,0.020000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,771.6677,-0.6026,-0.2796,16.45747457,44.11536100,1200.0172
0.130000,0.343007,-0.000290,-0.021610,6.134707,-0.005131,-0.472347,0.99144506,-0.00000497,0.13052465,-0.00000145,0.00000032,-0.00013754,-0.00019576,12.7005,1200.0216,0.3429,0.18494727,-0.57703317,0.021401,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,752.1590,-0.5737,-0.2810,16.45747510,44.11536100,1200.0216
0.140000,0.407214,-0.000344,-0.026612,6.706625,-0.005576,-0.528016,0.99144517,-0.00000548,0.13052385,-0.00000254,0.00000044,-0.00018823,-0.00026955,12.6971,1200.0266,0.4071,0.18322186,-0.53703837,0.022823,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,752.1650,-0.5572,-0.2909,16.45747568,44.11536100,1200.0266
0.150000,0.477140,-0.000402,-0.032171,7.278697,-0.006008,-0.583734,0.99144531,-0.00000604,0.13052276,-0.00000404,0.00000059,-0.00025255,-0.00036378,12.6937,1200.0322,0.4771,0.18176219,-0.50177316,0.024278,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,752.1721,-0.5362,-0.3033,16.45747631,44.11536100,1200.0322
0.160000,0.552813,-0.000464,-0.038294,7.858311,-0.006405,-0.641497,0.99144550,-0.00000667,0.13052131,-0.00000608,0.00000079,-0.00033350,-0.00048314,12.6903,1200.0383,0.5527,0.18033376,-0.47013086,0.025780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,771.6391,-0.4862,-0.3431,16.45747699,44.11536100,1200.0383
0.170000,0.634332,-0.000530,-0.045008,8.447971,-0.006780,-0.701973,0.99144575,-0.00000739,0.13051942,-0.00000877,0.00000104,-0.00043471,-0.00063334,12.6868,1200.0450,0.6342,0.17887979,-0.44152595,0.027332,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,791.1460,-0.4632,-0.3716,16.45747773,44.11536100,1200.0450
0.180000,0.721797,-0.000599,-0.052340,9.043969,-0.007129,-0.764166,0.99144608,-0.00000822,0.13051696,-0.00001230,0.00000134,-0.00056008,-0.00082047,12.6833,1200.0523,0.7217,0.17748450,-0.41574500,0.028921,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,781.3806,-0.4077,-0.3950,16.45747852,44.11536099,1200.0523
0.190000,0.815212,-0.000672,-0.060291,9.638884,-0.007440,-0.826090,0.99144649,-0.00000918,0.13051382,-0.00001687,0.00000172,-0.00071403,-0.00105146,12.6798,1200.0603,0.8151,0.17627850,-0.39269707,0.030524,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,781.3821,-0.3512,-0.4265,16.45747937,44.11536099,1200.0603
0.200000,0.914576,-0.000748,-0.068862,10.233957,-0.007708,-0.888081,0.99144702,-0.00001030,0.13050983,-0.00002270,0.00000219,-0.00090160,-0.00133432,12.6763,1200.0689,0.9144,0.17520567,-0.37194695,0.032142,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,0.00000000,0.00000000,0.00000000,-0.00096963,can,781.3747,-0.2843,-0.4637,16.45748026,44.11536099,1200.0689
0.210000,1.019916,-0.000826,-0.078060,10.835378,-0.007930,-0.951803,0.99144767,-0.00001163,0.13050482,-0.00003009,0.00000219,-0.00112818,-0.00167945,12.6727,1200.0781,1.0197,0.17414080,-0.35299256,0.033790,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,791.1349,-0.2131,-0.5108,16.45748121,44.11536099,1200.0781
0.220000,1.131308,-0.000906,-0.087905,11.445624,-0.008103,-1.017926,0.99144850,-0.00001321,0.13049857,-0.00003937,0.00000219,-0.00140097,-0.00210181,12.6691,1200.0879,1.1311,0.17304484,-0.33555492,0.035475,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,810.6344,-0.1464,-0.5687,16.45748222,44.11536099,1200.0879
0.230000,1.248854,-0.000988,-0.098425,12.062230,-0.008224,-1.085793,0.99144951,-0.00001509,0.13049084,-0.00005096,0.00000219,-0.00172703,-0.00261034,12.6655,1200.0984,1.2486,0.17195989,-0.31953304,0.037187,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,800.8737,-0.0466,-0.6253,16.45748328,44.11536099,1200.0984
0.240000,1.372554,-0.001071,-0.109621,12.680237,-0.008284,-1.154079,0.99145076,-0.00001733,0.13048134,-0.00006528,0.00000219,-0.00211471,-0.00320310,12.6618,1200.1096,1.3723,0.17095338,-0.30488159,0.038911,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,820.3692,0.0372,-0.7008,16.45748440,44.11536099,1200.1096
0.250000,1.502484,-0.001153,-0.121514,13.305835,-0.008286,-1.224450,0.99145229,-0.00001999,0.13046975,-0.00008276,0.00000219,-0.00257289,-0.00388930,12.6581,1200.1215,1.5022,0.16993190,-0.29130496,0.040665,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,820.3519,0.1475,-0.7804,16.45748557,44.11536099,1200.1215
0.260000,1.638671,-0.001236,-0.134110,13.932827,-0.008217,-1.295251,0.99145413,-0.00002313,0.13045570,-0.00010390,0.00000220,-0.00311159,-0.00467915,12.6544,1200.1341,1.6384,0.16897476,-0.27881251,0.042429,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,830.0914,0.2622,-0.8744,16.45748680,44.11536099,1200.1341
0.270000,1.781166,-0.001318,-0.147426,14.566178,-0.008080,-1.367819,0.99145636,-0.00002682,0.13043875,-0.00012923,0.00000220,-0.00374156,-0.00558304,12.6507,1200.1474,1.7808,0.16801321,-0.26719147,0.044218,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,830.0806,0.3927,-0.9779,16.45748809,44.11536099,1200.1474
0.280000,1.929995,-0.001397,-0.161467,15.199681,-0.007865,-1.440497,0.99145903,-0.00003114,0.13041843,-0.00015935,0.00000221,-0.00447418,-0.00661279,12.6470,1200.1615,1.9296,0.16711717,-0.25645632,0.046013,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.00000000,0.00000000,-0.00096963,0.00096963,0.00000000,0.00000000,-0.00096963,can,830.0553,0.5357,-1.0948,16.45748944,44.11536099,1200.1615
0.290000,2.085160,-0.001475,-0.176236,15.833336,-0.007568,-1.513292,0.99146221,-0.00003618,0.13039419,-0.00019491,0.00000222,-0.00532566,-0.00777908,12.6433,1200.1762,2.0848,0.16627663,-0.24650749,0.047813,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,can,830.0267,0.6920,-1.2252,16.45749084,44.11536099,1200.1762
