time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,accel_meas_x,accel_meas_y,accel_meas_z,gyro_meas_x,gyro_meas_y,gyro_meas_z,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z,mhe_quality,mhe_solve_ms,mhe_V_m_s,mhe_gamma_rad,mhe_chi_rad,mhe_p_rad_s,mhe_q_rad_s,mhe_r_rad_s,mhe_alpha_rad,mhe_beta_rad,mhe_phi_rad,mhe_h_scaled,mhe_xg_scaled,mhe_yg_scaled,mhe_bgx_rad_s,mhe_bgy_rad_s,mhe_bgz_rad_s,mhe_wn_m_s,mhe_we_m_s
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7873,0.8093,-0.0070,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7060,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.28723707,0.76995830,1200.0000,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100,-0.8029,-0.7880,6.6105,6.7055,4393519.0280,4259900.7911,1795675.2871,1200.0337,0.3104,0.143119,8.2001,-0.001023,-0.0586,0.0195,0.1000,23.4982,6.7055,0.991445,-0.000004,0.130526,0.000001,-0.0004,15.0000,0.0000,-0.000000,-0.000029,-0.000003,-0.0000,-0.0017,-0.0002,1031.5187,-1.0275,1.7272,1031.5257,-1.0276,1.7501,-0.0000,-0.0022,-0.0000,12.7009,LAUNCH,-1.961067,-1.381808,0.013282,-0.008322,0.000000,0.000000,-0.000627,0.002281,-0.000468,0.001703,-0.000000,-0.002140,-0.000013,-0.000068,0.981680,0.572017,0.3104,0.0337,-0.0003,6.6583,0.7939,-0.0069,8.0008,1.1336,-0.0082,8.2789,-0.0082,0.0139,0.000084,0.000472,-0.000440,0.000396,-0.000150,-0.000112,0.000128,0.0000,0.0000,0.0000,-0.7060,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],8.2818,8.2817,8.2817,-0.0082,0.0139,343.0558,1,0.592000,6.6583,-0.0069,-0.7939,6.6583,-0.0069,-0.7939,6.6583,-0.0069,-0.7939,-0.000013,-0.001962,-0.000071,-0.0008,-0.1124,-0.0041,-0.000000,-0.002268,-0.000082,0.28723712,0.76995830,1200.0337,81.330395,-0.025132,0.090112,0.000122,0.003781,-0.002082,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200,-1.6280,-1.5992,14.4527,14.6318,4393518.9065,4259900.6718,1795676.3369,1200.1678,1.3651,0.131119,7.5126,-0.001021,-0.0585,0.0427,0.1000,111.8819,14.6318,0.991448,-0.000007,0.130504,0.000001,-0.0009,14.9974,-0.0000,-0.000013,-0.001455,-0.000021,-0.0007,-0.0833,-0.0012,1057.4217,-1.0500,1.3167,1057.5549,-1.0536,1.7943,-0.0000,-0.0447,-0.0003,12.6550,LAUNCH,-1.798061,-1.265362,0.013132,-0.007893,0.000000,0.000000,-0.000757,0.002755,-0.000576,0.002093,-0.000013,-0.044428,-0.000277,-0.000147,0.960191,0.571938,1.3654,0.1678,-0.0014,14.5071,1.9060,-0.0149,8.5774,1.2952,-0.0087,8.5176,-0.0085,0.0106,0.000103,0.000569,-0.000534,0.000482,-0.000181,-0.000138,0.000155,0.0000,0.0000,0.0000,-0.7056,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],8.5205,8.5205,8.5205,-0.0085,0.0106,343.0554,1,0.499504,14.5071,-0.0149,-1.9060,14.5071,-0.0149,-1.9060,14.5071,-0.0149,-1.9060,-0.000366,-0.038876,-0.000370,-0.0210,-2.2275,-0.0212,-0.000013,-0.044858,-0.000427,0.28723729,0.76995830,1200.1678,83.671579,-0.027207,0.058167,0.000109,0.002355,-0.002100,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.060000,6.9874,46.505208,-0.533412,-0.015131,-0.001093,-0.123987,-0.002052,0.164178,0.002994,0.037053,0.009584,4393.530304,4259.903597,0.002849,0.030000,0.000304,-4.996612,0.125994
0.300,-2.4586,-2.4166,22.8823,23.1406,4393518.7022,4259900.4710,1795678.1995,1200.4208,3.2323,0.123491,7.0755,-0.001013,-0.0580,0.0675,0.1000,279.8357,23.1406,0.991484,-0.000014,0.130228,-0.000001,-0.0017,14.9655,-0.0003,-0.000124,-0.012764,-0.000110,-0.0071,-0.7313,-0.0063,1134.7711,-1.1093,-0.8894,1135.5727,-1.1313,1.9267,-0.0001,-0.2626,-0.0017,12.6061,LAUNCH,-1.694491,-1.189190,0.013006,-0.007757,0.000000,0.000000,-0.000766,0.002786,-0.000583,0.002122,-0.000081,-0.261211,-0.001704,-0.000231,0.937188,0.571853,3.2329,0.4208,-0.0033,22.9215,3.1766,-0.0235,8.7809,1.3714,-0.0088,9.1761,-0.0090,-0.0072,0.000105,0.000576,-0.000541,0.000488,-0.000183,-0.000139,0.000157,0.0000,0.0000,0.0000,-0.7038,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],9.1793,9.1793,9.1793,-0.0090,-0.0072,343.0546,1,0.480395,22.9215,-0.0235,-3.1766,22.9215,-0.0235,-3.1766,22.9215,-0.0235,-3.1766,-0.002283,-0.227878,-0.001682,-0.1308,-13.0564,-0.0964,-0.000081,-0.262387,-0.001933,0.28723758,0.76995830,1200.4208,90.132145,-0.032233,-0.116426,-0.000002,-0.008954,-0.002189,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300000,2.5695,45.540791,0.243200,0.871908,0.003548,-0.167151,-0.079164,0.093622,-0.012511,0.697121,0.022546,4393.526227,4259.911749,-0.005317,0.030000,0.030000,-4.999997,-4.999997
0.400,-3.2784,-3.2234,31.5247,31.8582,4393518.4151,4259900.1888,1795680.9217,1200.8059,5.9564,0.115690,6.6285,-0.000986,-0.0565,0.0929,0.1000,530.3715,31.8582,0.991684,-0.000035,0.128697,-0.000010,-0.0043,14.7886,-0.0018,-0.000613,-0.056194,-0.000422,-0.0351,-3.2197,-0.0242,1093.8091,-1.0181,-7.8978,1096.5711,-1.0924,1.8605,-0.0003,-0.7486,-0.0047,12.5560,LAUNCH,-1.634572,-0.946484,0.012243,-0.006044,0.090592,-0.329483,-0.044506,0.161867,-0.000962,0.003500,-0.000316,-0.746838,-0.004769,-0.000318,0.913671,0.571767,5.9576,0.8059,-0.0061,31.5356,4.5219,-0.0321,8.4390,1.2964,-0.0083,8.8801,-0.0083,-0.0641,0.010578,0.011056,-0.011164,-0.009766,-0.010641,-0.000230,0.000176,0.0000,0.0000,0.0000,-0.6970,7.3810,0.0001,-0.021380,-0.000261,0.000018,4.2440,0,1,0.0000,0.0000,0.021659,0.021137,-0.021623,-0.021100,1.000000,[],8.8834,8.8832,8.8832,-0.0083,-0.0641,343.0533,1,0.460745,31.5356,-0.0321,-4.5219,31.5356,-0.0321,-4.5219,31.5356,-0.0321,-4.5219,-0.008864,-0.649373,-0.004388,-0.5079,-37.2063,-0.2514,-0.000316,-0.746112,-0.004999,0.28723801,0.76995830,1200.8059,87.228474,-0.025321,-0.674883,-0.000491,-0.052384,-0.002501,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300003,1.5766,43.988566,0.038140,0.254952,-0.001139,-0.020604,-0.018028,-0.000724,0.028945,1.583354,-0.001946,4393.526309,4259.900394,0.001875,0.018596,0.029999,-4.999997,-4.999998
0.500,-4.0809,-4.0129,39.8245,40.2337,4393518.0472,4259899.8270,1795684.4915,1201.3225,9.5255,0.104197,5.9701,-0.000926,-0.0531,0.1173,0.1173,845.8540,40.2337,0.992278,-0.000100,0.124031,-0.000036,-0.0123,14.2496,-0.0057,-0.001733,-0.132461,-0.000940,-0.0993,-7.5895,-0.0538,1052.6525,-0.9311,-15.3819,1057.5519,-1.0536,1.7943,-0.0004,-0.8094,-0.0050,12.5080,LAUNCH,-1.555815,-0.559048,0.010913,-0.003555,0.174355,-0.633411,-0.118067,0.429230,-0.001466,0.005331,-0.000380,-0.815753,-0.005187,-0.000401,0.891121,0.571684,9.5273,1.3225,-0.0097,39.8143,5.7937,-0.0403,8.3367,1.2036,-0.0087,8.5788,-0.0076,-0.1254,0.028136,0.028444,-0.028886,-0.027180,-0.028161,-0.000350,0.000128,0.0000,0.0000,0.0000,-0.6874,6.3440,0.0002,-0.040906,-0.000393,-0.000083,3.9360,0,1,0.0000,0.0000,0.041216,0.040431,-0.041381,-0.040596,1.000000,[],8.5827,8.5818,8.5818,-0.0076,-0.1254,343.0516,1,0.441965,39.8143,-0.0403,-5.7937,39.8143,-0.0403,-5.7938,39.8143,-0.0403,-5.7937,-0.010663,-0.700558,-0.004941,-0.6109,-40.1390,-0.2831,-0.000380,-0.803268,-0.005405,0.28723858,0.76995830,1201.3225,84.272603,-0.018672,-1.275639,-0.001610,-0.128652,-0.003019,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300000,2.3024,56.712965,-0.038769,0.253640,0.002052,-0.070850,0.032439,0.037741,0.001274,0.174825,-0.006879,4393.534386,4259.902463,-0.003462,0.029996,-0.030000,-4.999998,-4.999998
0.600,-4.9254,-4.8437,48.0022,48.4967,4393517.5975,4259899.3848,1795688.8819,1201.9615,13.9138,0.088076,5.0464,-0.000839,-0.0481,0.1414,0.1414,1228.8940,48.4967,0.993257,-0.000220,0.115933,-0.000078,-0.0268,13.3149,-0.0121,-0.002518,-0.187210,-0.001321,-0.1443,-10.7263,-0.0757,1063.7088,-0.9167,-20.6087,1070.5276,-1.0665,1.8163,-0.0001,-0.3554,-0.0012,12.4607,POWERED_ASCENT,-1.398120,-0.177684,0.009184,-0.000632,0.213332,-0.774501,-0.180383,0.655092,-0.002034,0.007391,-0.000119,-0.376684,-0.001341,-0.000483,0.868961,0.571602,13.9165,1.9614,-0.0142,47.9926,6.9744,-0.0489,8.4610,1.1093,-0.0098,8.7018,-0.0075,-0.1686,0.042723,0.042699,-0.043572,-0.041661,-0.042664,-0.000484,0.000047,0.0000,0.0000,0.0000,-0.6839,6.3439,0.0003,-0.049667,-0.000476,-0.000137,4.1760,0,1,0.0000,0.0000,0.050006,0.049053,-0.050280,-0.049327,1.000000,[],8.7064,8.7048,8.7048,-0.0075,-0.1686,343.0496,1,0.423373,47.9926,-0.0489,-6.9744,47.9926,-0.0489,-6.9745,47.9926,-0.0489,-6.9744,-0.003343,-0.301877,-0.001851,-0.1915,-17.2963,-0.1061,-0.000119,-0.345438,-0.001593,0.28723927,0.76995830,1201.9615,85.479157,-0.017804,-1.699765,-0.002396,-0.183400,-0.003400,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300005,2.0087,54.935821,0.105549,0.160448,-0.000289,-0.101382,0.025383,0.058957,-0.000729,0.103172,0.021368,4393.531340,4259.902594,0.000975,0.006033,-0.029459,-4.999996,-4.999996
0.700,-5.8577,-5.7610,56.2707,56.8673,4393517.0592,4259898.8554,1795694.0946,1202.7142,19.1259,0.070800,4.0565,-0.000750,-0.0430,0.1658,0.1658,1689.5949,56.8673,0.994331,-0.000360,0.106328,-0.000126,-0.0436,12.2074,-0.0192,-0.002553,-0.188958,-0.001237,-0.1463,-10.8265,-0.0709,1061.6126,-0.8982,-24.4699,1070.5712,-1.0665,1.8164,0.0001,0.3384,0.0061,12.4130,POWERED_ASCENT,-1.191992,0.102723,0.007506,0.002004,0.220173,-0.799344,-0.214106,0.777328,-0.002537,0.009213,0.000092,0.299410,0.005840,-0.000565,0.846540,0.571519,19.1295,2.7142,-0.0195,56.2928,8.0626,-0.0585,8.6073,1.0050,-0.0107,8.7180,-0.0074,-0.2009,0.050535,0.050173,-0.051361,-0.049318,-0.050347,-0.000601,0.000007,0.0000,0.0000,0.0000,-0.6899,6.3437,0.0004,-0.051066,-0.000531,-0.000152,3.9130,0,1,0.0000,0.0000,0.051445,0.050384,-0.051749,-0.050687,1.000000,[],8.7233,8.7210,8.7210,-0.0074,-0.2010,343.0471,1,0.404571,56.2928,-0.0585,-8.0626,56.2928,-0.0585,-8.0628,56.2928,-0.0585,-8.0626,0.002579,0.308475,0.004393,0.1478,17.6743,0.2517,0.000092,0.352258,0.005546,0.28724009,0.76995830,1202.7142,85.638324,-0.016597,-2.017184,-0.002430,-0.185148,-0.003316,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300000,3.7236,73.254131,0.107365,0.158486,0.007555,-0.068223,0.004493,0.058731,-0.000723,0.016098,0.022010,4393.543953,4259.904594,-0.005297,-0.030000,-0.009209,-4.999995,-4.999995
0.800,-6.8890,-6.7755,64.6478,65.3659,4393516.4226,4259898.2293,1795700.1403,1203.5707,25.1757,0.057758,3.3093,-0.000706,-0.0405,0.1905,0.1905,2232.1543,65.3659,0.995171,-0.000490,0.098158,-0.000155,-0.0587,11.2662,-0.0236,-0.002289,-0.131363,-0.000448,-0.1311,-7.5265,-0.0257,1046.3072,-0.8573,-27.4945,1057.5704,-1.0536,1.7943,0.0000,0.8571,0.0140,12.3648,POWERED_ASCENT,-1.005319,0.208964,0.006627,0.003578,0.192598,-0.699183,-0.210988,0.766012,-0.002896,0.010511,0.000046,0.804656,0.013777,-0.000649,0.823846,0.571436,25.1805,3.5706,-0.0259,64.7366,9.0485,-0.0690,8.7284,0.9413,-0.0108,8.6259,-0.0071,-0.2267,0.049847,0.049197,-0.050543,-0.048458,-0.049511,-0.000684,0.000011,0.0000,0.0000,0.0000,-0.7013,6.3435,0.0006,-0.044577,-0.000541,-0.000142,3.9690,0,1,0.0000,0.0000,0.044976,0.043894,-0.045260,-0.044178,1.000000,[],8.6318,8.6288,8.6288,-0.0071,-0.2267,343.0444,1,0.385010,64.7366,-0.0690,-9.0485,64.7365,-0.0690,-9.0487,64.7366,-0.0690,-9.0485,0.001289,0.767743,0.011539,0.0738,43.9884,0.6611,0.000046,0.874902,0.013469,0.28724104,0.76995830,1203.5707,84.734219,-0.013568,-2.269487,-0.002167,-0.127553,-0.002527,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300000,1.8835,71.020904,0.145216,0.081687,0.023123,-0.088936,0.007258,0.060024,-0.000553,0.038742,0.019743,4393.529142,4259.900083,-0.026755,-0.030000,-0.011099,-4.999996,-4.999997
0.900,-7.9873,-7.8553,73.1211,73.9743,4393515.6792,4259897.4981,1795707.0271,1204.5218,32.0744,0.052318,2.9976,-0.000763,-0.0437,0.2156,0.2156,2858.5342,73.9743,0.995607,-0.000607,0.093629,-0.000131,-0.0720,10.7449,-0.0218,-0.002375,-0.051603,0.000877,-0.1361,-2.9566,0.0503,1082.4382,-0.8132,-31.6638,1096.6017,-1.0925,1.8606,-0.0001,0.7725,0.0164,12.3161,POWERED_ASCENT,-0.898552,0.145271,0.007363,0.003245,0.155376,-0.563673,-0.182195,0.661172,-0.003017,0.010945,-0.000104,0.716371,0.016000,-0.000733,0.800965,0.571351,32.0805,4.5217,-0.0333,73.2991,9.9719,-0.0796,8.8453,0.9632,-0.0091,8.9591,-0.0067,-0.2621,0.043094,0.042327,-0.043698,-0.041628,-0.042687,-0.000709,0.000024,0.0000,0.0000,0.0000,-0.7202,6.3432,0.0007,-0.035834,-0.000524,-0.000141,4.0660,0,1,0.0000,0.0000,0.036217,0.035169,-0.036500,-0.035452,1.000000,[],8.9660,8.9621,8.9621,-0.0067,-0.2622,343.0413,1,0.378060,73.2991,-0.0796,-9.9719,73.2990,-0.0796,-9.9723,73.2991,-0.0796,-9.9719,-0.002922,0.699695,0.013751,-0.1674,40.0896,0.7878,-0.000104,0.795690,0.015758,0.28724213,0.76995829,1204.5218,88.002644,-0.010261,-2.616809,-0.002253,-0.047793,-0.001202,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300000,2.3513,89.001425,0.157019,0.059914,0.021487,-0.032216,-0.034715,0.059506,-0.002165,-0.353509,0.034007,4393.544872,4259.901002,-0.021523,-0.030000,0.030000,-4.999997,-4.999997
1.000,-9.0954,-8.9422,81.7105,82.7001,4393514.8249,4259896.6580,1795714.7680,1205.5658,39.8362,0.052849,3.0280,-0.000926,-0.0531,0.2411,0.2411,3572.3052,82.7001,0.995713,-0.000731,0.092489,-0.000043,-0.0853,10.6136,-0.0129,-0.002747,-0.003138,0.002006,-0.1574,-0.1798,0.1149,1092.1385,-0.6463,-38.8896,1109.6181,-1.1054,1.8826,-0.0001,0.1632,0.0086,12.2668,POWERED_ASCENT,-0.874465,0.017755,0.009685,0.001300,0.135768,-0.492286,-0.150958,0.547381,-0.002974,0.010783,-0.000146,0.109415,0.008010,-0.000819,0.777844,0.571266,39.8437,5.5657,-0.0418,81.9763,10.9168,-0.0885,8.9089,1.0405,-0.0058,9.0757,-0.0054,-0.3232,0.035697,0.034960,-0.036301,-0.034256,-0.035303,-0.000696,0.000025,0.0000,0.0000,0.0000,-0.7320,6.3428,0.0009,-0.031092,-0.000523,-0.000142,3.9590,0,1,0.0000,0.0000,0.031472,0.030426,-0.031757,-0.030711,1.000000,[],9.0845,9.0788,9.0788,-0.0054,-0.3233,343.0379,1,0.373352,81.9763,-0.0885,-10.9168,81.9762,-0.0885,-10.9173,81.9763,-0.0885,-10.9168,-0.004098,0.171859,0.007104,-0.2348,9.8468,0.4070,-0.000146,0.195028,0.008063,0.28724336,0.76995829,1205.5658,89.146634,0.003075,-3.216196,-0.002625,0.000671,-0.000073,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300000,2.2339,88.657671,0.131370,0.057714,0.026028,-0.009737,0.008433,0.055531,-0.000547,0.051325,0.058326,4393.530815,4259.901999,-0.030000,-0.030000,-0.009111,-4.999998,-4.999998
1.100,-10.1663,-9.9884,90.3812,91.4980,4393513.8615,4259895.7112,1795723.3711,1206.7077,48.4679,0.054124,3.1011,-0.001121,-0.0642,0.2667,0.2667,4372.3240,91.4980,0.995726,-0.000870,0.092351,0.000079,-0.1002,10.5978,-0.0002,-0.003069,-0.010686,0.002118,-0.1758,-0.6123,0.1214,1101.5817,-0.3992,-48.1663,1122.7040,-1.1185,1.9048,-0.0001,-0.3916,-0.0053,12.2171,POWERED_ASCENT,-0.877409,-0.059215,0.012397,-0.000819,0.131159,-0.475378,-0.133946,0.485480,-0.002944,0.010669,-0.000066,-0.446639,-0.006177,-0.000905,0.754474,0.571180,48.4771,6.7075,-0.0509,90.7159,11.9375,-0.0942,9.0350,1.1290,-0.0021,9.1914,-0.0033,-0.4019,0.031524,0.030855,-0.032187,-0.030116,-0.031170,-0.000685,0.000019,0.0000,0.0000,0.0000,-0.7326,6.3423,0.0011,-0.029822,-0.000559,-0.000141,4.1990,0,1,0.0000,0.0000,0.030240,0.029122,-0.030522,-0.029403,1.000000,[],9.2033,9.1945,9.1945,-0.0033,-0.4020,343.0342,1,0.368607,90.7159,-0.0942,-11.9375,90.7158,-0.0942,-11.9382,90.7159,-0.0942,-11.9375,-0.001858,-0.307363,-0.005005,-0.1065,-17.6106,-0.2867,-0.000066,-0.348035,-0.005626,0.28724472,0.76995829,1206.7077,90.281512,0.023090,-3.988409,-0.002947,-0.006877,0.000039,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300000,2.8754,106.756418,0.126512,0.066367,0.028441,0.007854,0.032310,0.050670,-0.000512,0.272953,0.079254,4393.550118,4259.903276,-0.029954,0.001622,-0.030000,-4.999999,-4.999999
1.200,-11.2051,-10.9984,99.1952,100.4301,4393512.7927,4259894.6616,1795732.8492,1207.9564,57.9801,0.051907,2.9740,-0.001239,-0.0710,0.2928,0.2928,5267.0086,100.4301,0.995854,-0.001023,0.090958,0.000181,-0.1168,10.4375,0.0101,-0.003237,-0.045472,0.001193,-0.1855,-2.6053,0.0684,1110.6163,-0.1606,-56.1865,1135.7283,-1.1314,1.9269,-0.0001,-0.4091,-0.0126,12.1667,POWERED_ASCENT,-0.845354,-0.052145,0.013890,-0.001519,0.130564,-0.473025,-0.129761,0.470116,-0.003074,0.011136,-0.000080,-0.473793,-0.013802,-0.000992,0.730812,0.571093,57.9912,7.9561,-0.0605,99.5793,13.0450,-0.0963,9.1078,1.1582,0.0006,9.3051,-0.0013,-0.4707,0.030401,0.029716,-0.031102,-0.028941,-0.030040,-0.000712,0.000018,0.0000,0.0000,0.0000,-0.7298,6.3417,0.0013,-0.029484,-0.000606,-0.000136,4.0450,0,1,0.0000,0.0000,0.029955,0.028743,-0.030226,-0.029014,1.000000,[],9.3202,9.3083,9.3083,-0.0013,-0.4709,343.0301,1,0.363791,99.5793,-0.0963,-13.0450,99.5791,-0.0963,-13.0459,99.5793,-0.0963,-13.0450,-0.002254,-0.312734,-0.011420,-0.1291,-17.9184,-0.6543,-0.000080,-0.353351,-0.012730,0.28724622,0.76995829,1207.9564,91.397384,0.042563,-4.663918,-0.003115,-0.041662,-0.000886,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300002,2.2775,106.973927,0.124388,0.062328,0.028138,-0.030843,0.029971,0.048664,-0.000946,0.258263,0.053694,4393.535407,4259.896519,-0.029205,0.030000,-0.030000,-4.999998,-4.999998
1.300,-12.2405,-12.0015,108.0858,109.4368,4393511.6206,4259893.5117,1795743.2121,1209.3177,68.3817,0.046666,2.6738,-0.001239,-0.0710,0.3190,0.3190,6253.2412,109.4368,0.996103,-0.001192,0.088194,0.000232,-0.1358,10.1195,0.0147,-0.003596,-0.058284,0.000199,-0.2060,-3.3394,0.0114,1106.3294,0.0070,-61.3606,1135.7457,-1.1315,1.9270,-0.0002,0.0857,-0.0071,12.1160,POWERED_ASCENT,-0.775425,0.000491,0.013719,-0.000788,0.129063,-0.467778,-0.130314,0.472311,-0.003275,0.011870,-0.000154,0.005296,-0.008501,-0.001080,0.706957,0.571005,68.3947,9.3173,-0.0701,108.5140,14.1812,-0.0957,9.2111,1.1675,0.0017,9.3080,0.0001,-0.5163,0.030371,0.029618,-0.031083,-0.028823,-0.029973,-0.000753,0.000021,0.0000,0.0000,0.0000,-0.7314,6.3409,0.0016,-0.028918,-0.000634,-0.000134,4.2200,0,1,0.0000,0.0000,0.029418,0.028150,-0.029686,-0.028418,1.000000,[],9.3255,9.3112,9.3112,0.0001,-0.5164,343.0257,1,0.358936,108.5140,-0.0957,-14.1812,108.5139,-0.0957,-14.1824,108.5140,-0.0957,-14.1812,-0.004323,0.134741,-0.006462,-0.2477,7.7201,-0.3702,-0.000154,0.151910,-0.007050,0.28724786,0.76995829,1209.3177,91.425887,0.056340,-5.110308,-0.003473,-0.054474,-0.001880,0.114283,0.055766,-0.045876,0.000122,0.003810,-0.002079,0.300000,2.2033,124.953540,0.122076,0.068454,0.030151,-0.025895,0.030326,0.046079,-0.000847,0.322001,0.094325,4393.558306,4259.898041,-0.030000,0.005386,-0.030000,-4.999997,-4.999998
