time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,accel_meas_x,accel_meas_y,accel_meas_z,gyro_meas_x,gyro_meas_y,gyro_meas_z,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0117,0.0000,8.3617,4.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0704,0.3634,-0.0043,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,4.0000,0.0000,-0.7131,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-6.3445,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-4.0000,-0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.100,-0.7633,-0.7459,4.8712,4.9868,4393519.0298,4259900.7930,1795675.2060,1200.0133,0.2319,0.190241,10.9000,-0.676544,-38.7631,0.0186,0.1000,21.3753,6.3954,0.991445,-0.000004,0.130526,0.000000,-0.0004,15.0000,-0.0000,-0.000000,-0.000044,-0.000061,-0.0000,-0.0025,-0.0035,771.6687,-0.6123,-0.2735,771.6578,-0.6345,-0.2565,-0.0000,-0.0024,-0.0033,12.7107,LAUNCH,-2.570795,-1.830432,4.110522,-2.567278,0.000000,0.000000,-0.000627,0.002281,-0.000468,0.001703,-0.000000,-0.002346,-0.003290,-0.000068,0.981680,0.572017,0.2319,0.0133,-0.0002,4.9740,0.3565,-0.0042,5.9749,0.6068,-0.0038,6.1886,-0.0049,-0.0022,0.000084,0.000472,-0.000440,0.000396,-0.000150,-0.000112,0.000128,-0.0000,4.0000,-0.0000,-0.7131,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-2.2449,-0.0483,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.1907,6.1907,6.1907,-0.0049,-0.0022,343.0559,1,0.551908,4.9740,-0.0042,-0.3565,4.9740,-0.0042,-0.3565,4.9740,-4.0042,-0.3565,-0.000003,-0.002060,-0.002899,-0.0001,-0.1180,-0.1661,-0.000000,-0.002383,-0.003350,16.45747410,44.11536100,1200.0133,60.754264,-0.009286,-0.018213,0.002254,0.000892,-0.001779,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.200,-1.5430,-1.5071,10.6611,10.8771,4393518.9146,4259900.6804,1795675.9801,1200.0781,1.0197,0.174141,9.9775,-0.352993,-20.2250,0.0338,0.1000,70.2242,11.5920,0.991447,-0.000010,0.130510,-0.000023,-0.0016,14.9981,-0.0028,-0.000001,-0.000902,-0.001331,-0.0001,-0.0517,-0.0763,791.1349,-0.2132,-0.5107,791.1866,-0.6505,-0.2630,-0.0000,-0.0239,-0.0359,12.6763,LAUNCH,-2.373737,-1.683926,4.110306,-2.566667,0.000000,0.000000,-0.000757,0.002755,-0.000576,0.002093,-0.000001,-0.023292,-0.035503,-0.000147,0.960191,0.571938,1.0199,0.0781,-0.0008,10.8354,0.9518,-0.0079,6.4022,0.7252,0.0012,6.3620,-0.0017,-0.0041,0.000103,0.000569,-0.000534,0.000482,-0.000181,-0.000138,0.000155,-0.0000,4.0000,-0.0000,-0.7108,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-1.3244,-0.0419,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.3641,6.3641,6.3641,-0.0017,-0.0041,343.0557,1,0.483038,10.8354,-0.0079,-0.9518,10.8354,-0.0079,-0.9518,10.8354,-4.0079,-0.9518,-0.000033,-0.020640,-0.031120,-0.0019,-1.1826,-1.7830,-0.000001,-0.023837,-0.035907,16.45748121,44.11536099,1200.0781,62.454701,0.022071,-0.036986,0.002253,0.000033,-0.003050,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.300,-2.3314,-2.2699,16.8859,17.1966,4393518.7209,4259900.4915,1795677.3545,1200.2080,2.4141,0.164580,9.4298,-0.228443,-13.0888,0.0515,0.1000,162.9324,17.6572,0.991466,-0.000042,0.130365,-0.000236,-0.0086,14.9814,-0.0284,-0.000019,-0.006315,-0.009083,-0.0011,-0.3618,-0.5204,849.4483,1.0303,-1.5450,849.7211,-0.6987,-0.2824,-0.0000,-0.1214,-0.1604,12.6395,LAUNCH,-2.247388,-1.588654,3.018504,-2.134532,0.000000,0.000000,-0.000766,0.002786,-0.000583,0.002122,-0.000018,-0.118295,-0.158942,-0.000231,0.937188,0.571853,2.4146,0.2080,-0.0016,17.1160,1.6632,-0.0067,6.5536,0.7762,0.0098,6.8507,0.0083,-0.0125,0.000105,0.000576,-0.000541,0.000488,-0.000183,-0.000139,0.000157,-0.0000,4.0000,-0.0000,-0.7084,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.7942,-0.0225,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.8531,6.8531,6.8531,0.0083,-0.0125,343.0553,1,0.472848,17.1160,-0.0067,-1.6632,17.1160,-0.0067,-1.6633,17.1160,-4.0067,-1.6632,-0.000515,-0.105011,-0.139042,-0.0295,-6.0167,-7.9665,-0.000018,-0.121087,-0.160179,16.45749381,44.11536098,1200.2080,67.249755,0.120403,-0.118935,0.002236,-0.005380,-0.010801,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.400,-3.1215,-3.0225,23.2673,23.6696,4393518.4482,4259900.2267,1795679.3635,1200.4126,4.4481,0.157334,9.0146,-0.164931,-9.4499,0.0700,0.1000,301.1252,24.0047,0.991560,-0.000174,0.129646,-0.001186,-0.0387,14.8983,-0.1421,-0.000105,-0.025769,-0.032791,-0.0060,-1.4765,-1.8788,819.5338,3.7137,-4.5373,820.4584,-0.6746,-0.2727,-0.0000,-0.3299,-0.4041,12.6020,LAUNCH,-2.222316,-1.260837,2.242916,-1.573958,0.152631,-0.554977,-0.070097,0.254941,-0.003944,0.014344,-0.000021,-0.320690,-0.400332,-0.000318,0.913671,0.571767,4.4490,0.4126,-0.0019,23.5450,2.4247,0.0029,6.2957,0.7272,0.0144,6.6292,0.0300,-0.0367,0.017221,0.016384,-0.018184,-0.015248,-0.016759,-0.000943,0.000043,-0.0000,4.0000,-0.0000,-0.7043,6.3442,0.0000,-0.033736,-0.002415,-0.000288,5.9830,0,1,-0.4643,0.0070,0.035863,0.031033,-0.036439,-0.031609,1.000000,[],6.6316,6.6314,6.6314,0.0301,-0.0367,343.0546,1,0.469200,23.5450,0.0029,-2.4247,23.5450,0.0029,-2.4248,23.5450,-3.9971,-2.4247,-0.000551,-0.285345,-0.350294,-0.0316,-16.3491,-20.0704,-0.000021,-0.328503,-0.402894,16.45751220,44.11536098,1200.4126,65.076128,0.333581,-0.356743,0.002149,-0.024834,-0.034509,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.500,-3.8963,-3.7541,29.3925,29.8863,4393518.0971,4259899.8878,1795681.9983,1200.6910,7.1127,0.150293,8.6112,-0.124710,-7.1454,0.0879,0.1000,475.0448,30.1506,0.991834,-0.000537,0.127476,-0.003903,-0.1220,14.6472,-0.4666,0.000224,-0.065230,-0.081604,0.0129,-3.7374,-4.6756,788.9294,7.5681,-10.8648,791.1823,-0.6505,-0.2630,0.0004,-0.5657,-0.7285,12.5659,LAUNCH,-2.219854,-0.864187,1.687830,-1.139703,0.285353,-1.034884,-0.158194,0.575093,-0.013187,0.047963,0.000384,-0.547046,-0.721452,-0.000401,0.891121,0.571684,7.1141,0.6910,-0.0009,29.7211,3.1381,0.0170,6.1927,0.7252,-0.0078,6.3999,0.0614,-0.0881,0.040083,0.034817,-0.041674,-0.034328,-0.037725,-0.003153,-0.000276,-0.0000,4.0000,-0.0000,-0.6981,6.3440,0.0000,-0.060488,-0.006018,-0.000615,2.4790,0,1,-0.3167,0.0328,0.065891,0.053855,-0.067121,-0.055084,1.000000,[],6.4030,6.4021,6.4021,0.0614,-0.0882,343.0537,1,0.459359,29.7211,0.0170,-3.1381,29.7211,0.0170,-3.1381,29.7211,-3.9830,-3.1381,0.010948,-0.488347,-0.631674,0.6273,-27.9802,-36.1922,0.000384,-0.561315,-0.725427,16.45753627,44.11536099,1200.6910,62.827140,0.641163,-0.861325,0.002479,-0.064295,-0.083323,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.600,-4.6368,-4.4827,35.4202,36.0026,4393517.6701,4259899.4761,1795685.2382,1201.0401,10.3874,0.139157,7.9731,-0.090953,-5.2112,0.1056,0.1056,685.6445,36.2231,0.992362,-0.001249,0.122966,-0.009740,-0.2879,14.1245,-1.1604,0.002658,-0.114893,-0.156574,0.1523,-6.5829,-8.9710,796.8100,10.2836,-19.7241,800.9165,-0.6585,-0.2662,0.0014,-0.4582,-0.8991,12.5305,POWERED_ASCENT,-2.180416,-0.366905,1.202627,-0.752285,0.356772,-1.294877,-0.263653,0.956482,-0.027822,0.101173,0.001412,-0.433977,-0.889807,-0.000483,0.868961,0.571602,10.3893,1.0401,0.0009,35.7962,3.8495,0.0094,6.2610,0.7254,-0.1083,6.4821,0.0837,-0.1605,0.067661,0.055435,-0.069789,-0.055429,-0.062079,-0.006647,-0.000530,0.0000,4.0000,0.0000,-0.6904,6.3439,-0.0000,-0.073451,-0.009280,-0.000773,2.5900,0,1,-0.2059,0.0150,0.081958,0.063399,-0.083504,-0.064945,1.000000,[],6.4869,6.4844,6.4844,0.0837,-0.1605,343.0526,1,0.448120,35.7962,0.0094,-3.8495,35.7962,0.0094,-3.8495,35.7962,-3.9906,-3.8495,0.040189,-0.391314,-0.779519,2.3026,-22.4207,-44.6631,0.001412,-0.448655,-0.894175,16.45756586,44.11536101,1201.0401,63.633749,0.859575,-1.570785,0.004913,-0.113958,-0.158293,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.700,-5.3222,-5.2952,41.5122,42.1856,4393517.1716,4259898.9883,1795689.0842,1201.4608,14.2726,0.124886,7.1555,-0.058207,-3.3350,0.1235,0.1235,938.6714,42.3840,0.992999,-0.002246,0.116508,-0.019320,-0.5278,13.3735,-2.2911,0.007939,-0.138650,-0.224656,0.4549,-7.9441,-12.8719,795.4817,8.4669,-25.2060,800.9481,-0.6586,-0.2662,0.0023,-0.0691,-0.6193,12.4947,POWERED_ASCENT,-2.041375,-0.029016,0.732610,-0.377626,0.383038,-1.390552,-0.319328,1.158672,-0.041871,0.152197,0.002324,-0.046986,-0.611491,-0.000565,0.846540,0.571519,14.2753,1.4608,-0.0023,41.9382,4.5611,-0.0968,6.3493,0.7001,-0.2807,6.4899,0.0691,-0.2056,0.083666,0.064620,-0.085925,-0.065058,-0.074817,-0.009978,-0.000674,-0.0000,4.0000,-0.0000,-0.6897,6.3437,0.0000,-0.077672,-0.010896,-0.000835,2.5770,0,1,-0.1367,-0.1323,0.087733,0.065941,-0.089403,-0.067610,1.000000,[],6.4957,6.4921,6.4921,0.0691,-0.2057,343.0512,1,0.435717,41.9382,-0.0968,-4.5611,41.9382,-0.0968,-4.5612,41.9382,-4.0968,-4.5611,0.066223,-0.049574,-0.535653,3.7943,-2.8404,-30.6907,0.002324,-0.054831,-0.614488,16.45760097,44.11536098,1201.4608,63.709584,0.716534,-2.014036,0.010193,-0.137715,-0.226375,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.800,-5.9245,-6.2628,47.6802,48.4534,4393516.6084,4259898.4119,1795693.5437,1201.9516,18.7768,0.111057,6.3631,-0.026936,-1.5433,0.1418,0.1418,1236.6135,48.6488,0.993459,-0.003233,0.109705,-0.031528,-0.7832,12.5782,-3.7218,0.015263,-0.128377,-0.257973,0.8745,-7.3555,-14.7808,784.2142,4.3057,-30.1818,791.1927,-0.6505,-0.2630,0.0027,0.2504,-0.1358,12.4585,POWERED_ASCENT,-1.858890,0.127126,0.302029,-0.061697,0.347140,-1.260017,-0.327478,1.188535,-0.043260,0.157179,0.002697,0.271196,-0.131616,-0.000649,0.823846,0.571436,18.7804,1.9516,-0.0242,48.1669,5.2479,-0.3722,6.4207,0.6713,-0.4948,6.4165,0.0352,-0.2470,0.085828,0.066011,-0.087906,-0.066588,-0.076583,-0.010284,-0.000664,-0.0000,4.0000,-0.0000,-0.6931,6.3435,0.0005,-0.072839,-0.007472,-0.000762,2.5240,0,1,-0.1256,-0.4432,0.079549,0.064605,-0.081074,-0.066129,1.000000,[],6.4236,6.4187,6.4187,0.0352,-0.2470,343.0496,1,0.422219,48.1669,-0.3722,-5.2479,48.1669,-0.3722,-5.2480,48.1669,-4.3722,-5.2479,0.076753,0.232180,-0.114491,4.3976,13.3029,-6.5599,0.002697,0.270015,-0.133049,16.45764167,44.11536077,1201.9516,62.990170,0.384494,-2.419285,0.017518,-0.127442,-0.259692,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.900,-6.4143,-7.4138,53.9075,54.7916,4393515.9905,4259897.7296,1795698.6220,1202.5094,23.9064,0.100145,5.7379,0.000275,0.0158,0.1603,0.1603,1580.4802,54.9999,0.993586,-0.003875,0.103955,-0.044326,-0.9906,11.9016,-5.2120,0.022476,-0.098131,-0.246621,1.2878,-5.6225,-14.1303,811.8564,-1.5965,-34.9027,820.4757,-0.6746,-0.2727,0.0024,0.3528,0.3664,12.4219,POWERED_ASCENT,-1.683479,0.137826,-0.043956,0.134110,0.279557,-1.014771,-0.303921,1.103181,-0.025221,0.091598,0.002357,0.375781,0.365649,-0.000733,0.800965,0.571351,23.9108,2.5093,-0.0838,54.4656,5.9064,-0.8576,6.4935,0.6617,-0.7156,6.6623,-0.0131,-0.2864,0.076225,0.064920,-0.077967,-0.065348,-0.071115,-0.005981,-0.000543,-0.0000,4.0000,-0.0000,-0.6998,6.3432,0.0018,-0.064322,0.000519,-0.000660,2.6630,0,1,-0.1546,-0.9039,0.063142,0.064181,-0.064463,-0.065502,1.000000,[],6.6707,6.6645,6.6645,-0.0131,-0.2865,343.0478,1,0.408035,54.4656,-0.8576,-5.9064,54.4656,-0.8576,-5.9066,54.4656,-4.8576,-5.9064,0.066933,0.325891,0.322175,3.8350,18.6722,18.4593,0.002357,0.378421,0.365265,16.45768803,44.11536022,1202.5094,65.400690,-0.089634,-2.806468,0.024730,-0.097196,-0.248339,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
