time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,accel_meas_x,accel_meas_y,accel_meas_z,gyro_meas_x,gyro_meas_y,gyro_meas_z,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0117,0.0000,8.3617,4.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0704,0.3634,-0.0043,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,4.0000,0.0000,-0.7131,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-6.3445,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-4.0000,-0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.100,-0.7633,-0.7459,4.8712,4.9868,4393519.0298,4259900.7930,1795675.2060,1200.0133,0.2319,0.190241,10.9000,-0.676544,-38.7631,0.0186,0.1000,21.3753,6.3954,0.991445,-0.000004,0.130526,0.000000,-0.0004,15.0000,-0.0000,-0.000000,-0.000044,-0.000061,-0.0000,-0.0025,-0.0035,771.6687,-0.6123,-0.2735,771.6578,-0.6345,-0.2565,-0.0000,-0.0024,-0.0033,12.7107,LAUNCH,-2.570795,-1.830432,4.110522,-2.567278,0.000000,0.000000,-0.000627,0.002281,-0.000468,0.001703,-0.000000,-0.002346,-0.003290,-0.000068,0.981680,0.572017,0.2319,0.0133,-0.0002,4.9740,0.3565,-0.0042,5.9749,0.6068,-0.0038,6.1886,-0.0049,-0.0022,0.000084,0.000472,-0.000440,0.000396,-0.000150,-0.000112,0.000128,-0.0000,4.0000,-0.0000,-0.7131,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-2.2449,-0.0483,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.1907,6.1907,6.1907,-0.0049,-0.0022,343.0559,1,0.551908,4.9740,-0.0042,-0.3565,4.9740,-0.0042,-0.3565,4.9740,-4.0042,-0.3565,-0.000003,-0.002060,-0.002899,-0.0001,-0.1180,-0.1661,-0.000000,-0.002383,-0.003350,16.45747410,44.11536100,1200.0133,60.754264,-0.009286,-0.018213,0.002254,0.000892,-0.001779,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.200,-1.5430,-1.5071,10.6611,10.8771,4393518.9146,4259900.6804,1795675.9801,1200.0781,1.0197,0.174141,9.9775,-0.352993,-20.2250,0.0338,0.1000,70.2242,11.5920,0.991447,-0.000010,0.130510,-0.000023,-0.0016,14.9981,-0.0028,-0.000001,-0.000902,-0.001331,-0.0001,-0.0517,-0.0763,791.1349,-0.2132,-0.5107,791.1866,-0.6505,-0.2630,-0.0000,-0.0239,-0.0359,12.6763,LAUNCH,-2.373737,-1.683926,4.110306,-2.566667,0.000000,0.000000,-0.000757,0.002755,-0.000576,0.002093,-0.000001,-0.023292,-0.035503,-0.000147,0.960191,0.571938,1.0199,0.0781,-0.0008,10.8354,0.9518,-0.0079,6.4022,0.7252,0.0012,6.3620,-0.0017,-0.0041,0.000103,0.000569,-0.000534,0.000482,-0.000181,-0.000138,0.000155,-0.0000,4.0000,-0.0000,-0.7108,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-1.3244,-0.0419,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.3641,6.3641,6.3641,-0.0017,-0.0041,343.0557,1,0.483038,10.8354,-0.0079,-0.9518,10.8354,-0.0079,-0.9518,10.8354,-4.0079,-0.9518,-0.000033,-0.020640,-0.031120,-0.0019,-1.1826,-1.7830,-0.000001,-0.023837,-0.035907,16.45748121,44.11536099,1200.0781,62.454701,0.022071,-0.036986,0.002253,0.000033,-0.003050,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.300,-2.3314,-2.2699,16.8859,17.1966,4393518.7209,4259900.4915,1795677.3545,1200.2080,2.4141,0.164580,9.4298,-0.228443,-13.0888,0.0515,0.1000,162.9324,17.6572,0.991466,-0.000042,0.130365,-0.000236,-0.0086,14.9814,-0.0284,-0.000019,-0.006315,-0.009083,-0.0011,-0.3618,-0.5204,849.4483,1.0303,-1.5450,849.7211,-0.6987,-0.2824,-0.0000,-0.1214,-0.1604,12.6395,LAUNCH,-2.247388,-1.588654,3.018504,-2.134532,0.000000,0.000000,-0.000766,0.002786,-0.000583,0.002122,-0.000018,-0.118295,-0.158942,-0.000231,0.937188,0.571853,2.4146,0.2080,-0.0016,17.1160,1.6632,-0.0067,6.5536,0.7762,0.0098,6.8507,0.0083,-0.0125,0.000105,0.000576,-0.000541,0.000488,-0.000183,-0.000139,0.000157,-0.0000,4.0000,-0.0000,-0.7084,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.7942,-0.0225,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.8531,6.8531,6.8531,0.0083,-0.0125,343.0553,1,0.472848,17.1160,-0.0067,-1.6632,17.1160,-0.0067,-1.6633,17.1160,-4.0067,-1.6632,-0.000515,-0.105011,-0.139042,-0.0295,-6.0167,-7.9665,-0.000018,-0.121087,-0.160179,16.45749381,44.11536098,1200.2080,67.249755,0.120403,-0.118935,0.002236,-0.005380,-0.010801,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.400,-3.1215,-3.0225,23.2673,23.6696,4393518.4482,4259900.2267,1795679.3635,1200.4126,4.4481,0.157334,9.0146,-0.164931,-9.4499,0.0700,0.1000,301.1252,24.0047,0.991560,-0.000174,0.129646,-0.001186,-0.0387,14.8983,-0.1421,-0.000104,-0.025769,-0.032789,-0.0060,-1.4765,-1.8787,819.5338,3.7134,-4.5373,820.4584,-0.6746,-0.2727,-0.0000,-0.3299,-0.4040,12.6020,LAUNCH,-2.222315,-1.260840,2.242784,-1.573476,0.153051,-0.556496,-0.070096,0.254938,-0.004076,0.014826,-0.000018,-0.320691,-0.400209,-0.000318,0.913671,0.571767,4.4490,0.4126,-0.0019,23.5450,2.4247,0.0029,6.2957,0.7272,0.0144,6.6292,0.0300,-0.0367,0.017248,0.016348,-0.018220,-0.015221,-0.016759,-0.000975,0.000039,-0.0000,4.0000,-0.0000,-0.7043,6.3442,0.0000,-0.033736,-0.002505,-0.000296,2.5130,0,1,-0.4643,0.0070,0.035946,0.030936,-0.036537,-0.031527,1.000000,[],6.6316,6.6314,6.6314,0.0300,-0.0367,343.0546,1,0.469200,23.5450,0.0029,-2.4247,23.5450,0.0029,-2.4248,23.5450,-3.9971,-2.4247,-0.000488,-0.285346,-0.350187,-0.0280,-16.3491,-20.0643,-0.000018,-0.328504,-0.402771,16.45751220,44.11536098,1200.4126,65.076128,0.333561,-0.356743,0.002150,-0.024834,-0.034507,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.500,-3.8963,-3.7541,29.3925,29.8863,4393518.0971,4259899.8878,1795681.9983,1200.6910,7.1127,0.150293,8.6112,-0.124712,-7.1454,0.0879,0.1000,475.0448,30.1506,0.991834,-0.000537,0.127476,-0.003902,-0.1220,14.6472,-0.4665,0.000243,-0.065230,-0.081561,0.0139,-3.7374,-4.6731,788.9294,7.5659,-10.8648,791.1823,-0.6505,-0.2630,0.0004,-0.5657,-0.7274,12.5659,LAUNCH,-2.219854,-0.864195,1.687372,-1.137967,0.286442,-1.038825,-0.158192,0.575086,-0.013672,0.049725,0.000396,-0.547051,-0.720354,-0.000401,0.891121,0.571684,7.1141,0.6910,-0.0009,29.7211,3.1381,0.0170,6.1927,0.7252,-0.0078,6.3999,0.0614,-0.0881,0.040190,0.034692,-0.041798,-0.034221,-0.037725,-0.003269,-0.000284,-0.0000,4.0000,-0.0000,-0.6981,6.3440,0.0000,-0.060488,-0.006254,-0.000631,2.6710,0,1,-0.3167,0.0328,0.066111,0.053603,-0.067373,-0.054864,1.000000,[],6.4030,6.4021,6.4021,0.0614,-0.0882,343.0537,1,0.459359,29.7211,0.0170,-3.1381,29.7211,0.0170,-3.1381,29.7211,-3.9830,-3.1381,0.011278,-0.488352,-0.630715,0.6462,-27.9805,-36.1373,0.000396,-0.561320,-0.724327,16.45753627,44.11536099,1200.6910,62.827140,0.640986,-0.861325,0.002497,-0.064295,-0.083280,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.600,-4.6368,-4.4827,35.4202,36.0026,4393517.6701,4259899.4761,1795685.2382,1201.0401,10.3874,0.139158,7.9731,-0.090967,-5.2120,0.1056,0.1056,685.6445,36.2231,0.992362,-0.001245,0.122966,-0.009734,-0.2874,14.1245,-1.1595,0.002744,-0.114901,-0.156306,0.1572,-6.5833,-8.9557,796.8100,10.2741,-19.7228,800.9165,-0.6585,-0.2662,0.0014,-0.4588,-0.8940,12.5305,POWERED_ASCENT,-2.180277,-0.367448,1.201588,-0.747924,0.358569,-1.301423,-0.263504,0.955944,-0.029072,0.105722,0.001437,-0.434619,-0.884649,-0.000483,0.868961,0.571602,10.3893,1.0401,0.0009,35.7962,3.8495,0.0094,6.2610,0.7253,-0.1081,6.4821,0.0836,-0.1604,0.067916,0.055092,-0.070063,-0.055106,-0.062044,-0.006945,-0.000540,0.0000,4.0000,0.0000,-0.6904,6.3439,-0.0000,-0.073361,-0.009770,-0.000785,2.6270,0,1,-0.2059,0.0150,0.082346,0.062805,-0.083916,-0.064376,1.000000,[],6.4869,6.4844,6.4844,0.0836,-0.1605,343.0526,1,0.448119,35.7962,0.0094,-3.8495,35.7962,0.0094,-3.8495,35.7962,-3.9906,-3.8495,0.040906,-0.391895,-0.775008,2.3438,-22.4539,-44.4047,0.001437,-0.449307,-0.889014,16.45756586,44.11536101,1201.0401,63.633750,0.858820,-1.570686,0.004999,-0.113966,-0.158025,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.700,-5.3223,-5.2951,41.5122,42.1856,4393517.1716,4259898.9883,1795689.0842,1201.4608,14.2726,0.124885,7.1554,-0.058270,-3.3386,0.1235,0.1235,938.6710,42.3839,0.993000,-0.002232,0.116506,-0.019287,-0.5258,13.3733,-2.2871,0.008135,-0.138730,-0.223745,0.4661,-7.9487,-12.8196,795.4817,8.4546,-25.2039,800.9481,-0.6586,-0.2662,0.0024,-0.0700,-0.6092,12.4947,POWERED_ASCENT,-2.041204,-0.029549,0.731621,-0.371422,0.386282,-1.402361,-0.319174,1.158111,-0.043801,0.159212,0.002381,-0.047849,-0.601444,-0.000565,0.846540,0.571519,14.2753,1.4608,-0.0023,41.9382,4.5610,-0.0967,6.3494,0.7000,-0.2799,6.4899,0.0690,-0.2056,0.084074,0.064108,-0.086367,-0.064579,-0.074782,-0.010438,-0.000691,-0.0000,4.0000,-0.0000,-0.6897,6.3437,0.0000,-0.077676,-0.011614,-0.000856,2.4570,0,1,-0.1368,-0.1321,0.088434,0.065207,-0.090145,-0.066918,1.000000,[],6.4957,6.4921,6.4921,0.0690,-0.2057,343.0512,1,0.435716,41.9382,-0.0967,-4.5610,41.9382,-0.0967,-4.5611,41.9382,-4.0967,-4.5610,0.067814,-0.050375,-0.526848,3.8855,-2.8863,-30.1861,0.002381,-0.055708,-0.604437,16.45760097,44.11536098,1201.4608,63.709585,0.715548,-2.013868,0.010390,-0.137795,-0.225464,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.800,-5.9252,-6.2622,47.6803,48.4534,4393516.6084,4259898.4119,1795693.5437,1201.9516,18.7768,0.111050,6.3627,-0.027125,-1.5542,0.1418,0.1418,1236.6117,48.6488,0.993463,-0.003196,0.109699,-0.031424,-0.7776,12.5777,-3.7091,0.015661,-0.128445,-0.255826,0.8973,-7.3594,-14.6577,784.2143,4.2993,-30.1819,791.1927,-0.6505,-0.2630,0.0028,0.2514,-0.1167,12.4585,POWERED_ASCENT,-1.858900,0.127597,0.301637,-0.052723,0.351342,-1.275295,-0.327586,1.188924,-0.046350,0.168408,0.002766,0.272200,-0.112473,-0.000649,0.823846,0.571436,18.7804,1.9516,-0.0241,48.1669,5.2478,-0.3713,6.4209,0.6713,-0.4923,6.4165,0.0352,-0.2470,0.086570,0.065284,-0.088683,-0.065894,-0.076608,-0.011019,-0.000681,-0.0000,4.0000,-0.0000,-0.6931,6.3435,0.0005,-0.072843,-0.008404,-0.000786,2.7170,0,1,-0.1257,-0.4421,0.080460,0.063652,-0.082033,-0.065225,1.000000,[],6.4236,6.4187,6.4187,0.0352,-0.2470,343.0496,1,0.422218,48.1669,-0.3713,-5.2478,48.1669,-0.3713,-5.2479,48.1669,-4.3713,-5.2478,0.078679,0.233006,-0.097693,4.5080,13.3503,-5.5974,0.002766,0.271038,-0.113904,16.45764167,44.11536077,1201.9516,62.990172,0.383977,-2.419294,0.017915,-0.127510,-0.257544,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
0.900,-6.4168,-7.4115,53.9077,54.7918,4393515.9903,4259897.7298,1795698.6220,1202.5094,23.9064,0.100134,5.7373,-0.000171,-0.0098,0.1603,0.1603,1580.4775,54.9998,0.993599,-0.003793,0.103946,-0.044073,-0.9780,11.9014,-5.1815,0.023239,-0.098182,-0.242582,1.3315,-5.6254,-13.8989,811.8564,-1.5393,-34.9017,820.4757,-0.6746,-0.2727,0.0025,0.3541,0.3876,12.4219,POWERED_ASCENT,-1.683431,0.138279,-0.041227,0.141896,0.278710,-1.011699,-0.304016,1.103527,-0.028756,0.104436,0.002453,0.377014,0.386876,-0.000733,0.800965,0.571351,23.9108,2.5093,-0.0836,54.4659,5.9063,-0.8543,6.4942,0.6618,-0.7095,6.6623,-0.0126,-0.2864,0.077063,0.064083,-0.078848,-0.064552,-0.071137,-0.006819,-0.000564,-0.0000,4.0000,-0.0000,-0.6998,6.3432,0.0018,-0.064370,-0.000293,-0.000643,2.6180,0,1,-0.1547,-0.9003,0.064020,0.063434,-0.065306,-0.064720,1.000000,[],6.6707,6.6645,6.6645,-0.0126,-0.2865,343.0478,1,0.408035,54.4659,-0.8543,-5.9063,54.4658,-0.8543,-5.9065,54.4659,-4.8543,-5.9063,0.069625,0.326899,0.340842,3.9892,18.7299,19.5288,0.002453,0.379676,0.386485,16.45768803,44.11536022,1202.5094,65.400690,-0.085026,-2.806383,0.025494,-0.097247,-0.244301,0.043970,0.038890,0.003302,0.002254,0.000935,-0.001719
