time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,mhe_quality,mhe_solve_ms,mhe_V_m_s,mhe_gamma_rad,mhe_chi_rad,mhe_p_rad_s,mhe_q_rad_s,mhe_r_rad_s,mhe_alpha_rad,mhe_beta_rad,mhe_phi_rad,mhe_h_scaled,mhe_xg_scaled,mhe_yg_scaled,mhe_bgx_rad_s,mhe_bgy_rad_s,mhe_bgz_rad_s,mhe_wn_m_s,mhe_we_m_s
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.100000,0.000000,0.000000,5.7296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1729,0.3891,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7127,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.28723707,0.76995830,1200.0000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100,-0.7694,-0.7460,4.9748,5.0889,4393519.0296,4259900.7930,1795675.2109,1200.0145,0.2365,0.186722,10.6984,0.001857,0.1064,0.0148,0.1000,13.5340,5.0889,0.991432,0.004954,0.130525,-0.000652,0.5725,15.0000,0.0000,0.100000,-0.000001,0.000000,5.7296,-0.0001,0.0000,787.1446,-0.0001,-0.0100,787.1470,0.0000,0.0000,-0.0000,-0.0009,0.0000,12.7101,LAUNCH,-2.527102,-1.800992,-0.024944,0.018190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,-0.000925,0.000009,-0.000068,0.981680,0.572017,0.2366,0.0145,0.0000,5.0746,0.3817,0.0000,6.0957,0.6369,0.0000,6.3130,-0.0000,-0.0001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7127,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.3151,6.3151,6.3151,-0.0000,-0.0001,343.0559,1,0.622124,5.0746,0.0000,-0.3817,5.0746,0.0000,-0.3817,5.0746,0.0000,-0.3817,-0.000263,-0.000799,0.000008,-0.0151,-0.0458,0.0005,-0.000009,-0.000925,0.000009,0.28723711,0.76995830,1200.0145,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200,-1.5555,-1.5081,10.8868,11.1002,4393518.9134,4259900.6804,1795676.0014,1200.0832,1.0403,0.170951,9.7947,0.003402,0.1949,0.0324,0.1000,64.3922,11.1002,0.991397,0.009905,0.130511,-0.001304,1.1449,14.9990,0.0000,0.099876,-0.000608,0.000012,5.7225,-0.0349,0.0007,807.0159,-0.0041,-0.2085,807.0633,0.0000,0.0000,-0.0001,-0.0193,0.0004,12.6751,LAUNCH,-2.330519,-1.655656,-0.045709,0.033325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000101,-0.019255,0.000388,-0.000147,0.960191,0.571938,1.0405,0.0832,0.0000,11.0545,1.0065,0.0000,6.5321,0.7576,0.0000,6.4902,-0.0000,-0.0017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7104,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.4925,6.4925,6.4925,-0.0000,-0.0017,343.0557,1,0.530345,11.0545,0.0000,-1.0065,11.0545,0.0000,-1.0065,11.0545,0.0000,-1.0065,-0.002848,-0.016646,0.000394,-0.1632,-0.9537,0.0226,-0.000101,-0.019225,0.000387,0.28723724,0.76995830,1200.0832,0.060000,4.6069,38.496049,-0.543889,0.012393,0.070292,-0.136913,-0.003482,0.161383,0.016241,0.129254,0.008497,4393.528733,4259.903695,0.024909,0.030000,-0.000776,-4.996612,0.019960
0.300,-2.3471,-2.2756,17.2428,17.5499,4393518.7183,4259900.4912,1795677.4047,1200.2202,2.4630,0.161606,9.2594,0.004822,0.2763,0.0512,0.1000,160.9586,17.5499,0.991350,0.014840,0.130385,-0.001951,1.7152,14.9854,0.0000,0.099230,-0.005470,0.000164,5.6855,-0.3134,0.0094,866.4846,-0.0362,-1.2337,866.7591,0.0000,0.0000,-0.0004,-0.1136,0.0034,12.6376,LAUNCH,-2.206982,-1.562663,-0.064759,0.047163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000407,-0.113558,0.003427,-0.000231,0.937188,0.571853,2.4634,0.2202,0.0000,17.4625,1.7497,0.0001,6.6866,0.8104,0.0001,6.9892,-0.0003,-0.0100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7081,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.9916,6.9916,6.9916,-0.0003,-0.0100,343.0552,1,0.491083,17.4625,0.0001,-1.7497,17.4625,0.0001,-1.7497,17.4625,0.0001,-1.7497,-0.011422,-0.098226,0.003495,-0.6545,-5.6279,0.2002,-0.000407,-0.113272,0.003419,0.28723746,0.76995830,1200.2202,0.300000,3.6995,37.234045,0.252340,0.942927,0.065156,-0.152943,0.020113,0.104153,0.024355,1.403660,0.021335,4393.524841,4259.910888,0.030000,0.030000,-0.029952,-4.999992,-4.999992
0.400,-3.1339,-3.0384,23.7588,24.1565,4393518.4441,4259900.2254,1795679.4562,1200.4351,4.5382,0.154547,8.8549,0.006118,0.3506,0.0704,0.1000,304.9451,24.1565,0.991353,0.019679,0.129712,-0.002574,2.2744,14.9088,0.0001,0.092454,-0.024869,0.001062,5.2972,-1.4249,0.0608,835.9601,-0.1388,-4.7900,836.9159,0.0000,0.0000,-0.0057,-0.1308,0.0033,12.5993,LAUNCH,-2.387263,-0.501546,-0.069174,0.012695,0.151902,-0.552342,-0.272173,0.987229,0.012885,-0.046863,-0.005714,-0.130824,0.003311,-0.000318,0.913671,0.571767,4.5390,0.4351,0.0000,24.0221,2.5448,0.0002,6.4232,0.7620,0.0005,6.7635,-0.0011,-0.0388,0.071981,0.071252,-0.050006,-0.063058,-0.064074,0.003081,0.007542,0.0000,0.0000,0.0000,-0.7039,6.3442,-0.0000,-0.023267,0.000947,0.012057,5.7590,0,1,0.0000,0.0000,0.034376,0.036271,-0.010263,-0.012158,1.000000,[],6.7659,6.7658,6.7658,-0.0011,-0.0388,343.0545,1,0.476369,24.0221,0.0002,-2.5448,24.0221,0.0002,-2.5448,24.0221,0.0002,-2.5448,-0.160498,-0.112233,0.005071,-9.1959,-6.4305,0.2906,-0.005714,-0.129301,0.003267,0.28723779,0.76995830,1200.4351,0.300000,3.2484,35.950789,-0.005641,0.305479,0.067353,-0.034082,-0.026130,-0.005174,0.034531,1.601372,-0.004341,4393.525099,4259.900392,0.030000,0.025111,0.030000,-4.999997,-4.999997
0.500,-3.9012,-3.7816,30.0136,30.5014,4393518.0922,4259899.8842,1795682.1467,1200.7273,7.2568,0.147644,8.4594,0.007101,0.4069,0.0889,0.1000,486.1631,30.5014,0.991538,0.023708,0.127596,-0.003071,2.7391,14.6656,-0.0024,0.066503,-0.068632,0.002089,3.8103,-3.9323,0.1197,804.7016,-0.4197,-11.7244,807.0590,0.0000,0.0000,-0.0135,-0.2820,0.0147,12.5625,LAUNCH,-2.298908,-0.425414,-0.082294,0.022105,0.275199,-0.998172,-0.272173,0.987229,0.012885,-0.046863,-0.013475,-0.282049,0.014656,-0.000401,0.891121,0.571684,7.2581,0.7273,0.0001,30.3232,3.2923,0.0007,6.3200,0.7524,0.0003,6.5296,-0.0034,-0.0951,0.071981,0.071252,-0.050006,-0.063058,-0.064074,0.003081,0.007542,0.0000,0.0000,0.0000,-0.6970,6.3440,-0.0000,-0.050884,0.001389,0.012501,5.7130,0,1,0.0000,0.0000,0.061996,0.064774,-0.036994,-0.039771,1.000000,[],6.5326,6.5319,6.5319,-0.0034,-0.0952,343.0536,1,0.462247,30.3232,0.0007,-3.2923,30.3232,0.0007,-3.2923,30.3232,0.0007,-3.2923,-0.378528,-0.241184,0.017044,-21.6880,-13.8188,0.9766,-0.013475,-0.277345,0.014487,0.28723822,0.76995830,1200.7273,0.300000,2.8700,43.681109,-0.129396,0.311126,-0.024006,-0.062616,0.039004,0.041277,0.015485,0.445305,-0.011334,4393.530729,4259.902208,0.030000,0.029999,-0.030000,-3.837405,-4.636316
0.600,-4.6543,-4.5114,36.1686,36.7448,4393517.6645,4259899.4697,1795685.4551,1201.0933,10.5977,0.135289,7.7515,0.007310,0.4189,0.1071,0.1071,705.5343,36.7448,0.992146,0.025819,0.122343,-0.003313,2.9795,14.0599,-0.0152,0.014138,-0.154909,0.004465,0.8101,-8.8756,0.2558,812.7860,-0.7955,-20.0263,816.9865,0.0000,0.0000,-0.0226,-0.3543,0.0289,12.5264,POWERED_ASCENT,-2.139003,-0.291075,-0.084962,0.023711,0.337722,-1.225482,-0.272316,0.987834,0.012898,-0.046900,-0.022586,-0.354273,0.028859,-0.000483,0.868961,0.571602,10.5997,1.0933,0.0001,36.5231,4.0304,0.0010,6.4018,0.7118,-0.0018,6.6143,-0.0065,-0.1630,0.071981,0.071252,-0.050006,-0.063058,-0.064074,0.003081,0.007542,0.0000,0.0000,0.0000,-0.6851,6.3439,-0.0000,-0.068436,0.001559,0.009129,5.2230,0,1,0.0000,0.0000,0.076006,0.079124,-0.057748,-0.060866,1.000000,[],6.6185,6.6165,6.6165,-0.0065,-0.1630,343.0524,1,0.448655,36.5231,0.0010,-4.0304,36.5231,0.0010,-4.0304,36.5231,0.0010,-4.0304,-0.634448,-0.300243,0.026961,-36.3512,-17.2026,1.5448,-0.022586,-0.344603,0.028475,0.28723874,0.76995830,1201.0933,0.300000,3.1422,37.019849,0.072782,0.200285,-0.032514,-0.086950,0.025869,0.073565,0.004094,0.108855,0.014872,4393.528243,4259.902376,0.030000,0.029984,-0.030000,0.792455,-3.829882
0.700,-5.4496,-5.2850,42.3893,43.0637,4393517.1600,4259898.9806,1795689.3823,1201.5321,14.5624,0.114834,6.5795,0.006459,0.3701,0.1255,0.1255,969.0142,43.0637,0.993366,0.024817,0.112238,-0.003178,2.8572,12.8938,-0.0437,-0.056855,-0.261639,0.006475,-3.2575,-14.9908,0.3710,811.4248,-0.9450,-23.9838,817.0188,0.0000,0.0000,-0.0279,-0.1351,0.0253,12.4899,POWERED_ASCENT,-1.865163,-0.080835,-0.073493,0.015147,0.372991,-1.353989,-0.272684,0.989401,0.012930,-0.046998,-0.027924,-0.135127,0.025320,-0.000565,0.846540,0.571519,14.5651,1.5320,0.0002,42.8033,4.7286,-0.0008,6.5227,0.5815,-0.0068,6.6225,-0.0077,-0.1957,0.071981,0.071252,-0.050006,-0.063058,-0.064074,0.003081,0.007542,0.0000,0.0000,0.0000,-0.6721,6.3437,-0.0000,-0.081838,0.001658,0.003593,5.7090,0,1,0.0000,0.0000,0.083773,0.087089,-0.076587,-0.079903,1.000000,[],6.6277,6.6248,6.6248,-0.0077,-0.1958,343.0510,1,0.435032,42.8033,-0.0008,-4.7286,42.8033,-0.0008,-4.7287,42.8033,-0.0008,-4.7286,-0.784425,-0.106460,0.007227,-44.9442,-6.0997,0.4141,-0.027924,-0.121565,0.024786,0.28723937,0.76995830,1201.5321,0.300000,2.9849,45.962512,0.101153,0.039464,-0.096522,-0.074724,0.025104,0.094498,0.003034,0.097227,0.013123,4393.535121,4259.901704,0.030000,-0.030000,-0.028856,4.999992,-0.028946
0.800,-6.3537,-6.1709,48.6875,49.4866,4393516.5710,4259898.4090,1795693.9361,1202.0351,19.1612,0.086780,4.9722,0.004863,0.2786,0.1443,0.1443,1279.5611,49.4866,0.995090,0.019929,0.096909,-0.002711,2.2860,11.1264,-0.0895,-0.138629,-0.362951,0.005423,-7.9429,-20.7956,0.3107,799.9192,-0.9712,-25.2815,807.0698,0.0000,0.0000,-0.0267,0.4782,0.0397,12.4529,POWERED_ASCENT,-1.488920,0.216632,-0.057199,0.018005,0.380621,-1.381747,-0.278202,1.009638,0.007960,-0.028919,-0.026655,0.478188,0.039743,-0.000649,0.823846,0.571436,19.1648,2.0351,-0.0002,49.2020,5.2991,-0.0075,6.6496,0.3521,-0.0152,6.5480,-0.0080,-0.2069,0.071981,0.071252,-0.054762,-0.063058,-0.065263,0.001892,0.006353,0.0000,0.0000,0.0000,-0.6550,6.3435,0.0000,-0.085172,0.001591,-0.001941,5.6270,0,1,0.0000,0.0000,0.081640,0.084821,-0.085522,-0.088703,1.000000,[],6.5535,6.5502,6.5502,-0.0080,-0.2070,343.0493,1,0.421124,49.2020,-0.0075,-5.2991,49.2020,-0.0075,-5.2992,49.2020,-0.0075,-5.2991,-0.748801,0.431651,-0.014571,-42.9031,24.7318,-0.8349,-0.026655,0.494598,0.039113,0.28724009,0.76995830,1202.0351,0.300000,2.7426,48.808042,0.142673,-0.012249,-0.105625,-0.157153,0.011355,0.104498,0.002470,0.027241,0.007504,4393.525292,4259.899074,0.030000,-0.030000,-0.012725,0.668769,-0.344119
0.900,-7.4322,-7.2374,55.0414,56.0104,4393515.8836,4259897.7405,1795699.1215,1202.5846,24.4048,0.054127,3.1013,0.003150,0.1805,0.1633,0.1633,1639.0823,56.0104,0.996929,0.011258,0.077470,-0.002039,1.2835,8.8884,-0.1346,-0.207524,-0.423226,0.003141,-11.8902,-24.2491,0.1800,828.0904,-0.8304,-22.7001,836.9336,0.0000,0.0000,-0.0247,1.5645,0.0441,12.4156,POWERED_ASCENT,-1.043652,0.553312,-0.038178,0.015588,0.374906,-1.360987,-0.282527,1.025589,0.004133,-0.015009,-0.024693,1.564535,0.044077,-0.000733,0.800965,0.571351,24.4094,2.5846,-0.0016,55.7253,5.6446,-0.0224,6.7920,0.0475,-0.0219,6.7990,-0.0068,-0.1864,0.071981,0.071252,-0.058409,-0.063058,-0.066175,0.000980,0.005441,0.0000,0.0000,0.0000,-0.6205,6.3432,0.0000,-0.079897,0.001354,-0.006018,5.7710,0,1,0.0000,0.0000,0.072525,0.075232,-0.084561,-0.087268,1.000000,[],6.8038,6.8013,6.8013,-0.0068,-0.1864,343.0475,1,0.406574,55.7253,-0.0224,-5.6446,55.7253,-0.0224,-5.6448,55.7253,-0.0224,-5.6446,-0.693654,1.383859,-0.047075,-39.7434,79.2893,-2.6972,-0.024693,1.581183,0.043468,0.28724092,0.76995830,1202.5846,0.300000,2.8105,57.975128,0.193891,0.005065,-0.047716,-0.207954,0.019823,0.095046,0.004726,0.138420,0.019012,4393.534396,4259.899161,-0.030000,-0.030000,-0.014834,4.999664,-0.430934
